Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Libramiento de Magdalena de Kino,11.9,29/08/2012,12,25,35,35,35,35,35,35,55,55,70,70,70
Gómez Palacio - Corralitos,151.3,29/08/2012,112,225,280,280,280,280,280,280,405,405,470,470,470
Gómez Palacio - Estación Banderas,39,29/08/2012,52,105,135,135,135,135,135,135,200,200,230,230,230
Estación Banderas - Corralitos,112.3,29/08/2012,60,120,145,145,145,145,145,145,205,205,240,240,240
Guadalajara - Colima,146,31/01/2014,124,248,368,368,368,368,368,368,606,606,808,808,808
Acatlán - Ciudad Guzmán,73,31/01/2014,62,124,184,184,184,184,184,184,303,303,404,404,404
Cd. Guzmán - El Trapiche,73,31/01/2014,62,124,184,184,184,184,184,184,303,303,404,404,404
Guadalajara - Tepic,168.616,31/01/2014,172,347,428,428,428,423,423,423,655,655,726,726,726
Ent. Ameca - Magdalena,46,31/01/2014,51,103,131,131,131,129,129,129,190,190,210,210,210
Tequila - Magdalena,12.26,31/01/2014,13,26,30,30,30,29,29,29,38,38,41,41,41
Magdalena - Ixtlán del Río,51.454,31/01/2014,65,131,143,143,143,145,145,145,234,234,263,263,263
Ixtlán del Río - Tepic,77.6,31/01/2014,56,113,154,154,154,149,149,149,231,231,253,253,253
Ixtlán del Río - Santa María del Oro,47.692,31/01/2014,33,66,89,89,89,87,87,87,137,137,146,146,146
Ixtlán del Río - Tequepexpan,32.91,31/01/2014,26,52,66,66,66,64,64,64,108,108,116,116,116
Tequepexpan - Santa María del Oro,14.782,31/01/2014,7,14,24,24,24,23,23,23,29,29,30,30,30
Santa María del Oro - Tepic,21.69,31/01/2014,24,49,64,64,64,61,61,61,94,94,107,107,107
Guadalajara - Zapotlanejo,26,17/01/2014,26,52,60,60,60,59,59,59,120,120,156,156,156
Guadalajara - Zapotlanejo,26,17/01/2014,26,52,60,60,60,59,59,59,120,120,156,156,156
Cortijo - Guadalajara,9.5,17/01/2014,9,19,22,22,22,22,22,22,42,42,55,55,55
El Vado - Guadalajara,14.8,17/01/2014,14,28,33,33,33,32,32,32,66,66,86,86,86
Gutiérrez Zamora - Tihuatlán,37.289,29/08/2012,17,35,70,70,70,70,70,70,100,100,135,135,135
Gutièrrez Zamora - Tihuatlán,37.289,29/08/2012,17,35,70,70,70,70,70,70,100,100,135,135,135
Totomoxtle - Ent. Poza Rica,26.104,29/08/2012,12,25,50,50,50,45,45,45,75,75,100,100,100
Ent. Poza Rica - Tihuatlán II,9.372,29/08/2012,5,10,20,20,20,20,20,20,30,30,35,35,35
Jiménez - Camargo,70,01/01/2014,38,77,121,187,224,121,171,224,292,347,366,420,508
La Pera - Cuautla,34.165,29/08/2012,24,50,90,90,90,90,90,90,140,140,210,210,210
La Pera - Tepoztlán,17.083,29/08/2012,12,25,45,45,45,45,45,45,70,70,105,105,105
Tepoztlán - Cuautla,17.082,29/08/2012,12,25,45,45,45,45,45,45,70,70,105,105,105
La Tinaja - Cosoleacaque,228,29/08/2012,162,325,475,475,475,475,475,475,610,610,690,690,690
La Tinaja - Isla,118.15,29/08/2012,85,170,250,250,250,250,250,250,310,310,360,360,360
La Tinaja - Cosamaloapan,83.36,29/08/2012,70,140,200,200,200,200,200,200,250,250,295,295,295
Cosamaloapan - Isla,34.79,29/08/2012,15,30,55,55,55,55,55,55,60,60,65,65,65
Isla - Cosoleacaque,109.5,29/08/2012,77,155,225,225,225,225,225,225,300,300,330,330,330
Isla - Acayucan,69.85,29/08/2012,50,100,140,140,140,140,140,140,175,175,200,200,200
