"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"127","07050",,,,,,,,2000,,,14000,,,,,,1999.61,,1827.44,,3200,,,,,,,
"128","07051",,,,,31623.61,,,,,,9881.87,,,,5351.31,,,,1521.4,,3163.85,,,,,,,
"129","07052",,20111.11,,,,,,,,,24397.39,,,,,,3000,,,,,,11955.66,,,,,
"130","07053",,14150,,,,,,,,,13469.71,,,,,7034.28,,,,,,,,,3990,,,
"131","07054",,,,,29771.78,,,,,,,,,,5305.21,,,,1554.84,4672.09,3317.12,15009.74,,,,,,
"132","07055",,,,,29143.59,,,,,,,,,,5781.25,,,,,,,6694.65,,,,,,
"133","07056",,,,,,,,,,,11526.54,,,,,8450.46,1945.16,,,,,,,,,,,
"134","07057",,14080,,,,,,,,,13370.77,,,,,7064.97,,,,,,,,,3995,,,
"135","07058",,,,,,,,,,,11339.67,,,,,,,,,,,,,,,,,
"136","07059",,,,,,,,2703.05,,,78495.47,,,,,,1961.59,,0,,,,,,,,,
"137","07060",,,,,,,,,,,22600,,,,,,,,,,,,,,,,,
"138","07061",,,,,,,,,,,24600,,,,1520,,1320,,,,2952.46,,,,,,,
"139","07062",,,4221.05,,50729.18,,,,,,24612.01,,,,,,,,,,,,,,,,,
"140","07064",,12267.54,,,,,,,,,11513.94,,,,,8498.59,,,,,,,,,,,,
"141","07065",,,,,46948.72,,,2000,,,28784.56,,,,,,1977.79,,1837.87,,3244,,,,,,,
"142","07066",,11013.46,,,,,,,,,22597.6,,,,,,1957.03,,,,,,,,,,,
"143","07067",,,,,,,,,,,25247.37,,,,,,,,,,,,,,,,,
"144","07068",,,,,50628.27,,,,,,24700.92,,,,,,,,,,,,,,,,,
"145","07069",,,,,,,,,,,13155,,,,2327.92,,,,1530.79,,3550,,3042.22,,,,,
"146","07070",,,,,,,,,,,13471.74,,,,,7090.81,,,,,,,,,3980,,,
"147","07071",,3848.16,,,31687.61,,,,,,,,,,5348.34,,,,1514.38,,,,,,,,,
"148","07072",,,,,,,,,,,24846.25,,,,,,,,,,,,,,,,,
"149","07073",,,,,,,,,,,25252.45,,,,,,,,,,,,,,,,,
"150","07074",,,4228.8,,50862.5,,,,,,24603,,,,,,,,,,,,,,,,,
"151","07075",,6550,,,,,,,,,11553.59,,,,,,1917.73,,,,,,,,,,,
"152","07076",,,,,,,,,,,27408.29,,,,,,,,,,,,,,,,,
"153","07077",,,,,46684.21,,,2000,,,29000,,,,,,1983.15,,1838.56,,,,,,,,,
"154","07078",,13344.72,,,,,,,,,11522.57,,,,,8394.53,,,,,,,,,,,,
"155","07079",,,,,,,,,,,,,,,,,1310,,,,,,,,,,,
"156","07080",,14090,,,,,,,,,13461.53,,,,,7083.64,,,,,,,,,,,,
"157","07081",,,,,,,,,,,26142.83,,,,,,,,,,,,,,,,,
"158","07082",,,,,,,,,,,27560.76,,,,,,,,,,,,,,,,,
"159","07083",,,,,,,,,,,12621.06,,,,,,,,,,,,,,,,,
"160","07084",,,,,50693.83,,,,,,24687.95,,,,,,,,,,,,,,,,,
"161","07086",,,,,,,,,,,,,,,1348.24,,1200,,,6207.26,2911.82,,,,,,,
"162","07087",,,,,63340.68,,,,,,,,,,11177.18,,,,3076.26,,3150,6693.3,,,,,,
"163","07088",,,,,50282.59,,,,,,12337.73,,,,,,,,,,,,,,,,,
"164","07089",,,,,87231.75,,,,,,,,,,10814.59,,,,3211.37,4647.04,7071.4,6694.99,,,,,,
"165","07090",,,,,,,,,,,25248.15,,,,,,,,,,,,,,,,,
