"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"211","08020",,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"212","08021",,,,146.72,,,,1786.99,,,,,,,,,,2167.07,,,,56.98,55,,168,,,
"213","08022",,,,735,,,,,,,455,,,,,,,,,,,,,,,,,
"214","08023",,,,,,,,80,,,160,,,,,,,3785,,,125,,,,910,,,
"215","08024",,,,520,,,,,,,3850,,,,,15,,35,,,,,,,,,,
"216","08025",,,,6500,,,,,,,1990,,,,,20,,,,,,,,,,,,
"217","08026",,,,780,,,,,,,3680,,,,,191,,,,,,,,,55,,,
"218","08027",,,,2450,,,,,,,200,,,,,148,,,,,,,,,,,,
"219","08028",,,,46,,,,,,,,,,,,,,99.75,,,,,,,513.65,,,
"220","08029",,,,1020,,,,,,,165,,,,,100,,,,,,,,,,,,
"221","08030",,,,215,,,,,,,,,,,,35.15,,,,,,,,,,,,
"222","08031",,,,23627,,,,,,,9258,,,,,6327,,,,,,,,,,,,
"223","08032",,,,511.25,,,,7,,,505,,,,,,,240.27,,,,,,,,,,
"224","08033",,,,78,,,,,,,42,,,,,,,7,,,,,,,,,,
"225","08034",,,,6400,,,,,,,470,,,,,74,,,,,,,,,,,,
"226","08035",,,,200,,,,4200,,,560,,,,,,,427.7,,,250,,,,2136,,,
"227","08036",,,,525,,,,902,,,33,,,,,,,11239.39,,,,,,,,,,
"228","08037",,,,16,,,,28.75,,,,,,,,,,938,,,,,23.5,,466,,,
"229","08038",,,,152,,,,112,,,,,,,,,,784,,,,,,,25,,,
"230","08039",,,,124,,,,135,,,,,,,,,,1912.5,,,,,,,,,,
"231","08040",,,,7800,,,,,,,1020,,,,,148,,,,,,,,,,,,
"232","08041",,,,,,,,,,,97.2,,,,,45.12,,,,,,,,,,,,
"233","08042",,,,11,,,,,,,,,,,,,,36,,,,,,,,,,
"234","08043",,,,2177,,,,,,,1325,,,,,27,,,,,,,,,,,,
"235","08044",,,,257,,,,6,,,594,,,,,,,208.9,,,,,,,215,,,
"236","08045",,,,244.2,,,,1095.5,,,,,,,,,,3660.1,,,,,1.5,,170.01,,,
