"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1921","28015",,,,,,,,,,,,,,,,,,0,,,2375545.01,,,,,,,
"1922","28016",,,,,,,,41060000,,,163233,,,,,,132831489.64,,,,2086187.5,5734848,3875002.5,10585452.8,,,,
"1923","28017",,,,323010,,,,,,,,,,,,,,1595639.92,,,,,,,,,,
"1924","28018",0,,,,,163900,,,,,135200,,,,,,,,,,20701800,,,,,,,
"1925","28019",43600012.5,,,,,76000,,,,,0,,,,4846550,,201575804.6,,,704699.1,39609986.32,1260000,8210703.62,5046199.4,,,,
"1926","28020",,,,,,,,,,,62530,,,,,,2069961,1339000,,,634015.55,,,,,,,
"1927","28021",0,,40669460.2,,,,,0,,,152185,,,,296360,,7018645,,,,32460956.53,139319712,,,,,,
"1928","28022",,,,,,1239150,,,,,,,,,,,,,,,1229451347.48,1331649,,,,,,
"1929","28023",,,,,,,,,,,193800,,,,,,,,,,383024000,,,,1650000,,,
"1930","28025",,,,,,,,,,,,,,,,,,,,,6753653.34,,12846600,,,,,
"1931","28026",,,,170625,,,,,,,,,,,,,,,,,,,,,44025,,,
"1932","28027",,,,952027.2,,,,,,,,,,,,,,0,,,,,,,,,,
"1933","28028",,,,,,,,,,,244800,,,,144210,,128180,,,,,,,,,,,
"1934","28029",,,,,,,,,,,96000,,,,97647.2,,18918900,,,,1377632,1627200,,,,,,
"1935","28030",24748800.93,,,,,,,,,,1250473.5,,,,,,493228838.6,,,,10454273.37,,0,113162894.7,,,,
"1936","28031",,,,0,,,,,,,,,,,,,,0,,,18252,,,,,,,
"1937","28032",,,,,,,,,,,,,,,,,,0,,,391479452,3374058,,,,,,
"1938","28033",,,,,,,,,,,,,,,,,783300.16,,,,1036891379.3,1866834,,,,,,
"1939","28034",,,,,,189000,,,,,,,,,,,10681561.17,,,,12352500,630000,,,,,,
"1940","28035",,,,,,3587200,,,,,295500,27600,,,,,,,,,1775045500,1243350,,,,,,
"1941","28037",,,,,,,,,,,2257650,,,,,,18087990,,,,94730399.42,38235108.04,3656503.13,112140,,,,
"1942","28039",0,,,2558300.25,,,,47668004.82,,,,,,,,,,,,,1937500,,38914228.35,,,,,
"1943","28040",,,,,,,,,,,,,,,,,0,,,,666401507.75,1159620,,,,,,
"1944","28041",,,,,,,,,,,69260,,,,,,81958682.41,,,,9801893.92,,,6110723.87,,,,
"1945","28042",,,,,,,,,,,180096,,,,,,2969817.86,,,,2881692,,,120657.6,,,,
"1946","28043",0,,,,,,,486000,,,6437,,,,31172739.09,,24104058,,,,1789489.54,625968,337500,1455103.2,,,,
"1947","29001",,,,119673.56,,,,,,,222360.61,,,,,264521.95,,,,,,,,,,,,
"1948","29002",,,,463549.38,,,,,,,119766,,,,,,,,,,,,,,,,,
"1949","29003",,,,3124771.5,,,20276894.64,,,,878793.3,,,,,,,,,,,,1115136,,12107229.6,,,
"1950","29004",,,,2755734.27,,,6763000.17,,,3384240.62,686250,,,,,,,,,,,,7469397,,9024830.46,,,
"1951","29005",,,,587214,,,465528.1,,,,,,,,,208083,,,,,,,,,2408373,,,
"1952","29006",,,,2759267.28,,7875,91779904.35,,,,2585207.51,,,,,363000.09,,,,,,,1131200,,5471029.69,,,
