"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"111","07034",,,,,,,,190.8,,,402.31,,,,267.68,,40.6,,,8424,,,602.4,,,,,
"112","07035",,,,,25.83,,,,,,,,,,4422,,,,1032.64,9638.15,530.74,917.01,,,,,,
"113","07036",,77.4,,,,,,,,,208.1,,,,,300.42,,,,,,,,,,,,
"114","07037",,104,,,875,,,,,,4.03,,,,26745.85,,,,7031.2,,,,,,,,,
"115","07038",,0,,,,,,,,,522.6,,,,,86.8,,,,,,,,,9.12,,,
"116","07039",,,,,,,,,,,1818.7,,,,,,,,,,,,,,,,,
"117","07040",,79.5,,,243.8,,,,,,8,,,,2269.1,,,,5640,376.5,,,,,,,,
"118","07041",,650,,,,,,185,,,1855.12,,,,,,,,,,,,32500,,,,,
"119","07042",,,,,,,,,,,217.52,,,,,,,,,,,,,,,,,
"120","07043",,,,,19.58,,,,,,47.46,,,,,,,,,,,,,,,,,
"121","07044",,,,,,,,,,,,,,,,,,,,,,,144.7,,,,,
"122","07045",,,,,61.2,,,,,,82.53,,,,,,,,,,,,,,,,,
"123","07046",,,,,,,,145.26,,,544.8,,,,259.5,,,,,274.55,2614.85,,1548.75,,,,,
"124","07047",,,,,,,,,,,209.32,,,,,,,,,,,,,,,,,
"125","07048",,,26.25,,758,,,,,,8.33,,,,,,,,,,,,,,,,,
"126","07049",,8.25,,,,,,,,,397.02,,,,,45.3,17.1,,,,,,,,,,,
"127","07050",,,,,,,,1260,,,133.25,,,,,,446.72,,1783.39,,600,,,,,,,
"128","07051",,,,,79.5,,,,,,18.48,,,,13881.2,,,,127842.9,,185.85,,,,,,,
"129","07052",,12.15,,,,,,,,,2316.2,,,,,,4.1,,,,,,2590,,,,,
"130","07053",,34.2,,,,,,,,,86.25,,,,,131.25,,,,,,,,,5.68,,,
"131","07054",,,,,94.81,,,,,,,,,,23738,,,,3191.85,35677.25,618.2,8065.49,,,,,,
"132","07055",,,,,20.03,,,,,,,,,,2158.59,,,,,,,73.39,,,,,,
"133","07056",,,,,,,,,,,22.46,,,,,18.72,86.7,,,,,,,,,,,
"134","07057",,551.25,,,,,,,,,558.32,,,,,383.72,,,,,,,,,52.5,,,
"135","07058",,,,,,,,,,,189.1,,,,,,,,,,,,,,,,,
"136","07059",,,,,,,,164,,,9038.5,,,,,,862.5,,0,,,,,,,,,
"137","07060",,,,,,,,,,,125.17,,,,,,,,,,,,,,,,,
"138","07061",,,,,,,,,,,1059.66,,,,232,,344.25,,,,871.2,,,,,,,
"139","07062",,,28.52,,801.9,,,,,,20.7,,,,,,,,,,,,,,,,,
"140","07064",,286.5,,,,,,,,,980,,,,,66.78,,,,,,,,,,,,
"141","07065",,,,,17.55,,,7200,,,1177.1,,,,,,1593.75,,32186.7,,450,,,,,,,
"142","07066",,48.97,,,,,,,,,173.41,,,,,,88.4,,,,,,,,,,,
"143","07067",,,,,,,,,,,73.15,,,,,,,,,,,,,,,,,
"144","07068",,,,,1633.02,,,,,,82.11,,,,,,,,,,,,,,,,,
"145","07069",,,,,,,,,,,112.8,,,,9328.3,,,,10459.59,,532,,342,,,,,
"146","07070",,,,,,,,,,,54.39,,,,,71.3,,,,,,,,,2.68,,,
"147","07071",,49,,,281.52,,,,,,,,,,25219.5,,,,55076.6,,,,,,,,,
"148","07072",,,,,,,,,,,1195.84,,,,,,,,,,,,,,,,,
"149","07073",,,,,,,,,,,46.07,,,,,,,,,,,,,,,,,
"150","07074",,,27.15,,12.8,,,,,,14.28,,,,,,,,,,,,,,,,,
"151","07075",,34.11,,,,,,,,,235.75,,,,,,198,,,,,,,,,,,
"152","07076",,,,,,,,,,,1436.16,,,,,,,,,,,,,,,,,
"153","07077",,,,,302.24,,,1230,,,1130.15,,,,,,1637.95,,8500,,,,,,,,,
"154","07078",,97.2,,,,,,,,,220.4,,,,,252.58,,,,,,,,,,,,
"155","07079",,,,,,,,,,,,,,,,,91.5,,,,,,,,,,,
"156","07080",,16.25,,,,,,,,,781.08,,,,,528.22,,,,,,,,,,,,
"157","07081",,,,,,,,,,,4322.67,,,,,,,,,,,,,,,,,
"158","07082",,,,,,,,,,,258.15,,,,,,,,,,,,,,,,,
"159","07083",,,,,,,,,,,570,,,,,,,,,,,,,,,,,
"160","07084",,,,,3.99,,,,,,90.51,,,,,,,,,,,,,,,,,
"161","07086",,,,,,,,,,,,,,,56.1,,43.5,,,2919,320.76,,,,,,,
"162","07087",,,,,296.07,,,,,,,,,,12965.65,,,,2295.9,,37.38,516.6,,,,,,
"163","07088",,,,,194.3,,,,,,6.98,,,,,,,,,,,,,,,,,
"164","07089",,,,,1590.34,,,,,,,,,,76515.06,,,,9997.39,24184.16,839.27,14249.46,,,,,,
"165","07090",,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,
"166","07091",,,,,,,,,,,80.76,,,,,,,,,,,,,,,,,
"167","07092",,,,,195.3,,,,,,205.8,,,,169.95,,3527.75,,,,,,,,,,,
"168","07093",,18.85,,,,,,,,,41.2,,,,,26.4,131.25,,,,,,,,,,,
"169","07094",,1201.5,,,,,,,,,905,,,,,153.34,880.4,,,,,,,,,,,
"170","07096",,,,,,,,,,,2485.73,,,,,,679,,,,,,,,,,,
"171","07097",,,,,,,,,,,,,,,18384.78,,,,,,1461.3,,,,,,,
"172","07098",,37.52,,,,,,,,,,,,,593.85,,,,,,,,,,,,,
"173","07099",,4415,,,,,,,,,3460,,,,,,37,,,,961,,22039.99,,,,,
"174","07100",,,,,53.3,,,,,,914.4,,,,,,883.5,,,,,,,,,,,
"175","07101",,,,,,,,,,,1.05,,,,,,,,,,43.12,,,,,,,
"176","07102",,,,,641.88,,,,,,,,,,1776.12,,,,,,,227.12,,,,,,
"177","07103",,30,,,926.1,,,,,,3.1,,,,1970,,,,615.88,,,,,,,,,
"178","07104",,360,,,,,,,,,130,,,,,,,,,,,,,,,,,
"179","07106",,,,,,,,377,,,717.4,,,,,,,,,,,,825,,,,,
"180","07107",,,,,,,,255.09,,,2120.2,,,,1915.14,,,,,4226.9,815.95,,95.5,,,,,
"181","07108",,,,,,,,287.27,,,1207.34,,,,1487.4,,100.4,,,5902.36,375.4,,1331.05,,,,,
"182","07109",,,,,,,,,,,340.64,,,,,,95,,,,,,,,,,,
"183","07110",,142.8,,,,,,,,,,,,,319.8,,,,,,,,,,,,,
"184","07111",,784.55,,,,,,,,,46.8,,,,,355.3,,,,,,,,,,,,
"185","07112",,0,,,,,,,,,509.3,,,,,,69,,,,,,,,,,,
"186","07113",,0,,,,,,,,,23.8,,,,,77.04,42.8,,,,,,,,,,,
"187","07114",,,,,,,,357.65,,,2669.06,,,,,,,,5037,,,,,,,,,
"188","07115",,,,,105,,,95,,,668,,,,,,,,,,,,,,,,,
"189","07116",,,,,,,,128.95,,,2327.84,,,,,,,,3437.28,,,,,,,,,
"190","07117",,,,,,,,,,,296.65,,,,,,,,,,,,,,,,,
"191","07118",,,,,,,,,,,488.42,,,,,,,,,,,,,,,,,
"192","07119",,0,,,,,,,,,66.12,,,,,25.6,16.5,,,,,,,,,,,
"193","08001",,,,6292,,,,6200,,,1452.6,,,,,,,3300.75,,,3301.96,,,,18016,,,
"194","08002",,,,5890,,,,3010,,,272.96,,,,,,,7566,,,,,,,975,64,,
"195","08003",,,,6121,,,,7419,,,109.2,,,,,,,3737.24,,,,,,,,,,
"196","08004",,,,140,,,,,,,3.92,,,,,,,,,,,,,,,,,
"197","08005",,,,,,,,118835,,,1118,,,,,,,1611.06,,,2280,,,,10128.5,,,
"198","08006",,,,221421.69,,,,,,,1455.5,,,,,51887,,,,,,,,,,,,
"199","08007",,,,9547.5,,,,637.5,,,6.5,,,,,140,,556.8,,,,,,,,,,
"200","08009",,,,18620,,,,,,,142.54,,,,,424.9,,,,,,,,,,,,
"201","08010",,,,,,,,20493.7,,,2534.8,,,,,84,,4062.24,,,5446.5,,,,18537.75,,,
"202","08011",,,,1740,,,,110000,,,,,,,,,,12078.5,,,,,,,1925,,,
"203","08012",,,,36977,,,,,,,1208.36,,,,,18793,,,,,,,,,,,,
"204","08013",,,,975,,,,20362,,,783.2,,,,,5180,,990.5,,,1666,,,,720,,,
"205","08014",,,,2590.1,,,,1215.58,,,14.4,,,,,,,762.24,,,,,,,,,,
"206","08015",,,,432,,,,,,,,,,,,,,1250.7,,,,,,,,,,
"207","08016",,,,928,,,,1874.54,,,,,,,,,,2124.2,,,,,,,,,,
"208","08017",,,,515676.5,,,,,,74.75,10952.54,,,,,163326,,,,,,,3623.91,,175,,,
"209","08018",,,,173977.5,,,,,,,4217.38,,,,,51578,,,,,,,,,,,,
"210","08019",,,,42705,,,,96,,,1864.8,,,,,280,,6578.36,,,,,1471.68,,759.5,800,,
"211","08020",,,,830,,,,,,,,,,,,,,,,,,,,,,,,
"212","08021",,,,4841.76,,,,75335.05,,,,,,,,,,3423.6,,,,168.09,4373,,915.6,,,
"213","08022",,,,8085,,,,,,,263.9,,,,,,,,,,,,,,,,,
"214","08023",,,,,,,,2560,,,282.88,,,,,,,3316.56,,,812.5,,,,5005,,,
"215","08024",,,,6240,,,,,,,2310,,,,,83,,50.22,,,,,,,,,,
"216","08025",,,,58500,,,,,,,1732.6,,,,,286,,,,,,,,,,,,
"217","08026",,,,8580,,,,,,,2208,,,,,1513.8,,,,,,,,,264,,,
"218","08027",,,,20335,,,,,,,75.55,,,,,384.8,,,,,,,,,,,,
"219","08028",,,,889.18,,,,,,,,,,,,,,134.67,,,,,,,2876.44,,,
"220","08029",,,,7486.8,,,,,,,52.85,,,,,410,,,,,,,,,,,,
"221","08030",,,,1612.5,,,,,,,,,,,,119.5,,,,,,,,,,,,
"222","08031",,,,297315,,,,,,,4707.62,,,,,141599.8,,,,,,,,,,,,
"223","08032",,,,8334,,,,191,,,266.5,,,,,,,178.78,,,,,,,,,,
"224","08033",,,,1274,,,,,,,21,,,,,,,6.21,,,,,,,,,,
"225","08034",,,,28032,,,,,,,376,,,,,981.7,,,,,,,,,,,,
"226","08035",,,,5200,,,,97800,,,835.25,,,,,,,387.2,,,1337.5,,,,9825.6,,,
"227","08036",,,,16174,,,,41698,,,16.35,,,,,,,15709.56,,,,,,,,,,
"228","08037",,,,312,,,,805,,,,,,,,,,1124.41,,,,,587.5,,2889.2,,,
"229","08038",,,,5200,,,,4209,,,,,,,,,,1254.39,,,,,,,112.5,,,
"230","08039",,,,4187.2,,,,5805,,,,,,,,,,2073.6,,,,,,,,,,
"231","08040",,,,70200,,,,,,,881,,,,,2146,,,,,,,,,,,,
"232","08041",,,,,,,,,,,32,,,,,180.68,,,,,,,,,,,,
"233","08042",,,,242,,,,,,,,,,,,,,42.56,,,,,,,,,,
"234","08043",,,,22886.5,,,,,,,645,,,,,267.5,,,,,,,,,,,,
"235","08044",,,,4766,,,,168,,,492.45,,,,,,,195.9,,,,,,,1247,,,
"236","08045",,,,8531,,,,44519.5,,,,,,,,,,5356.15,,,,,82.5,,864.81,,,
"237","08046",,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,
"238","08047",,,,2959.05,,,,,,,86,,,,,31.42,,,,,,,,,,,,
"239","08048",,,,414469.5,,,,27,,,32414.75,,,,,126656.5,,,,,,,,,84.6,0,,
"240","08049",,,,3952,,,,,,,97.5,,,,,,,,,,,,,,,,,
"241","08050",,,,,,,,19550,,,867,,,,,576,,804.04,,,772.5,,,,5280.8,,,
"242","08051",,,,,,,,,,,65.28,,,,,203.97,,,,,,,,,,,,
"243","08052",,,,31200,,,,34841,,,2236,,,,,,,478.5,,,,,,,9600,,,
"244","08053",,,,644.8,,,,,,,,,,,,,,92.3,,,,,,,1798,,,
"245","08054",,,,117520,,,325,,,,9117.4,,,,,20401.2,,,,,,,,,255,,,
"246","08055",,,,4424.32,,,,29537.44,,,,,,,,,,5362.06,,,,,276,,400,5,,
"247","08056",,,,2629.5,,,,,,,13,,,,,,,30.46,,,,,,,,,,
"248","08057",,,,4500,,,,,,,129.25,,,,,72,,41,,,,,,,,,,
"249","08058",,,,1200,,,,19290,,,,,,,,,,1803.53,,,,,,,95,,,
"250","08059",,,,1127,,,,,,,2.5,,,,,,,,,,,,,,,,,
"251","08060",,,,5597,,,,,,,51.56,,,,,,,127.8,,,,,,,232,,,
"252","08061",,,,9562.5,,,,,,,165,,,,,,,338,,,,,,,,24,,
"253","08062",,,,3462.9,,,,30939,,,9,,,,,,,5665.01,,,,,630,,2110,,,
"254","08063",,,,25576.4,,,,,,,306,,,,,1198,,,,,,,,,,,,
"255","08064",,,,2026,,,,,,,21.5,,,,,,,26.25,,,,,,,,,,
"256","08065",,,,810,,,,,,,,,,,,395.53,,,,,,,,,,,,
"257","08066",,,,,,,,,,,74.4,,,,,26.91,,,,,,,,,,,,
"258","08067",,,,17323.5,,,,0,,,145.35,,,,,,,297.33,,,,,,,,,,
"259","09004",,,,70,,,,,5.76,,1.86,,,,,21.6,,4.87,,,,,,,,,,12.61
"260","09008",,,,1258.54,,,,,3.5,,5.98,,,,,83.23,,,,,,,136.69,,,,,3.32
"261","09009",,,,24774,,,,,,,38.3,,,,,526.75,,4,,,,,,,,,,
"262","09010",,,,109.8,,,,,,,1.47,,,,,59.41,,,,,,,,,,,,
"263","09011",,,,690.4,,,,20.2,,,24,,,,,96.46,,3.15,,,,,,,,,,
"264","09012",,,,72724.73,,,,,,,5,,,,,23.77,,,,,,,,,,,,
"265","09013",,,,3197.55,,,,1.7,,,7.7,,,,,14.54,,,,,,,,,,,,
"266","10001",,,,170565.72,,,,,,,8245.06,,,,,22089.4,,,,,,,658,,,,,
"267","10002",,120.02,,28551.15,,,,,,,44.77,,,,23.52,45.98,40.5,,,,,,,,6.82,,,
"268","10003",,,,8288,,,,72,,,512.6,,,,,,,,,,,,,,,,,
"269","10004",,,,69693,,,16564.74,488.87,,,18250.71,,,,,,,0.2,,,1173.62,,2,,508.54,,,
"270","10005",0,,,210515.67,,,407,380.21,,,6713.81,,,,,99.15,,1898.4,,,1130,,6600,,,,,
"271","10006",,,,12300.96,,,,3513.47,,,1509.25,,,,,,,6.65,,,662,,,,,,,
"272","10007",,,,201112.75,,,,10967.57,,,,,,,,,,1352.98,,,,,10330.54,,,,,
"273","10008",,,,16740,,,12441.7,,,,23681.2,,,,,,,10.08,,,,,195,,10.47,,,
"274","10009",,,,42262.07,,,,,,,81.32,,,,,80.96,,,,,163.26,,,,,,,
"275","10010",,,,90254.79,,,,23.81,,,2127.36,,,,,10.6,,0,,,1252.09,,,,208.8,,,
"276","10011",,,,49175.84,,,,743.9,,,2338.04,,,,,2.18,,3.28,,,2217.74,,,,297,,,
"277","10012",,,,85045,,,,1551,,,12.5,,,,,,,965.57,,,,,142,,,,,
"278","10013",,,,19305,,,,6175.9,,,51.69,,,,,,,0,,,2085.35,,1125,,958.61,,,
"279","10014",0,,,11945.98,,,,34.65,,,30.96,,,,,,0,52.8,,,,,128,,,,,
"280","10015",,,,6284,,,,39,,,40.7,,,,,,,1922.2,,,19.68,,364,,,,,
"281","10016",0,,,8877.98,,,1349.7,,,,7007.56,,,,,6.3,,42.63,,,353.29,,1937.25,,1151.5,,,
"282","10017",,,,88976.3,,,,838.6,,,1515.62,,,,,22.84,,245.49,,,89.55,,,,17.8,,,
"283","10018",,,,13714.3,,,,577.32,,,65.48,,,,,,,,,,,,,,,,,
"284","10019",,6.52,,8804.9,,,,,,,30.38,,,,,0,,,,,,,,,,,,
"285","10020",,,,14275.8,,,,,,,8615.92,,,,,,,20.4,,,,,2268,,,,,
"286","10021",,,,13575.2,,,521,3481.68,,,6649.33,98.9,,,,,,319.8,,,153.36,,83.13,,8,,,
"287","10022",,,,43510,,,2324.13,,,,13930.5,,,,,,,347.8,,,,,978,,11474.94,,,
