Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
720,Ent. (Carr. Hermosillo-Nogales)-Moctezuma,Se Deroga,NA,NA,NA
725,Ent. Carretera (Irapuato-La Piedad)-Tepatitlán (Lim. De Edos. Gto./Jal.)/Con Ramal A Las Adjuntas,Ent. Carretera (Irapuato-La Piedad)-Tepatitlán (Lim. De Edos. Gto./Jal.)/Con Ramal A Las Adjuntas,84,75.3,NA
725,Ent. Carretera (Irapuato-La Piedad)-Tepatitlán (Lim. De Edos. Gto./Jal.)/Con Ramal A Las Adjuntas,Ent. Carretera (Irapuato-La Piedad)-Tepatitlán (Lim. De Edos. Gto./Jal.),84,66.7,D
725-R,Ramal Las Adjuntas -Manuel Doblado,Ramal Las Adjuntas -Manuel Doblado,84,8.6,D
730,Ent. Ahualulco-La Bonita,Ent. Ahualulco-La Bonita,63,169.5,NA
730,Ent. Ahualulco-La Bonita,Ent. Ahualulco-Charcas,63,100,D
730,Ent. Ahualulco-La Bonita,Charcas-La Bonita,63,69.5,D
730-R,Ramal Charcas-Ent. Carr. Charcas,Ramal Charcas-Ent. Carr. Charcas,63,9.4,D
745,Se Deroga,Se Deroga,NA,NA,NA
750,Ent. Ameca-Mascota,Ent. Ameca-Mascota,70,169.1,NA
750,Ent. Ameca-Mascota,Ent. Ameca-Ameca,70,51,B4
750,Ent. Ameca-Mascota,Ameca-Mascota,70,118.1,D
755,Se Deroga,Se Deroga,NA,NA,NA
770,Ent. Carr. Cuernavaca-Chilpancingo (Casa Verde)-Filo De Caballos,Ent. Carr. Cuernavaca-Chilpancingo (Casa Verde)-Filo De Caballos,196,53.1,D
770,Ent. Carr. Cuernavaca-Chilpancingo (Casa Verde)-Filo De Caballos,Se Deroga,NA,NA,NA
770,Ent. Carr. Cuernavaca-Chilpancingo (Casa Verde)-Filo De Caballos,Se Deroga,NA,NA,NA
780,Ent. Colonia-Ciudad Valles,Ent. Colonia-Ciudad Valles,85,382.3,NA
780,Ent. Colonia-Ciudad Valles,Ent. Colonia-Portezuelo,85,81,B4
780,Ent. Colonia-Ciudad Valles,Portezuelo-Ciudad Valles,85,301.3,D
790,Ent. Empalme-Guaymas,Ent. Empalme-Guaymas,15,8.3,A2
791,Ent. Huizache-Antiguo Morelos,Ent. Huizache-Antiguo Morelos,80,198.9,C
791-R1,Ramal Al Salto,Ramal Al Salto,80,12,D
791-R2,Ramal Al Estribo ,Ramal Al Estribo ,80,12,D
792,Ent. Jorobas-Tula,Ent. Jorobas-Tula,87,37.9,B4
793,Ent. La Chicharrona-Cuencamé ,Ent. La Chicharrona-Cuencamé ,49,202,NA
793,Ent. La Chicharrona-Cuencamé ,Ent. La Chicharrona-Rancho Grande ,49,60,ET4
793,Ent. La Chicharrona-Cuencamé ,Rancho Grande-Cuencamé,49,142,ET2
794,Ent. La Cuchilla-Torreón,Ent. La Cuchilla-Torreón,30,72.7,NA
794,Ent. La Cuchilla-Torreón,…,NA,NA,NA
794,Ent. La Cuchilla-Torreón,San Pedro De Las Colonias-Torreón,30,54,B4
795,Ent. La Tinaja-Cosoleacaque (Directo),Ent. La Tinaja-Cosoleacaque (Directo),145D,228,ET4
800,Ent. La Tinaja – Santa Cruz,Ent. La Tinaja – Santa Cruz,145,78.6,A2
810,Ent. La Tinaja - Veracruz (Directo),Ent. La Tinaja - Veracruz (Directo),150 D,60,ET4
813,Ent. La Venta – Arroyo Hondo ( Directo ),Ent. La Venta – Arroyo Hondo ( Directo ),180 D,53.27,ET4 (*)
815,Se Deroga,Se Deroga,NA,NA,NA
815,Se Deroga,Se Deroga,NA,NA,NA
815,Se Deroga,Se Deroga,NA,NA,NA
820,Ent. Morelos – Ent. (Carr. Pachuca – Tuxpan),Ent. Morelos – Ent. (Carr. Pachuca – Tuxpan),132,86.08,NA
820,Ent. Morelos – Ent. (Carr. Pachuca – Tuxpan),Ent. Morelos – Pirámides (Directo),132 D,22.7,ET4
820,Ent. Morelos – Ent. (Carr. Pachuca – Tuxpan),Piramides  -  Ent. (Carr. Pachuca – Tuxpan),132,63.38,ET4
840,Ent. Palomas – Parral,Ent. Palomas – Parral,24,184.9,B2 (**)
845,Se Deroga,Se Deroga,NA,NA,NA
847,Ent. San Pedro-Todos Santos-Cabo San Lucas,Ent. San Pedro-Todos Santos-Cabo San Lucas,19,129,ET4
850,Ent. Tula-Ciudad Victoria,Ent. Tula-Ciudad Victoria,101,173.4,NA
850,Ent. Tula-Ciudad Victoria,Ent. Tula-San Antonio,101,134,A2
850,Ent. Tula-Ciudad Victoria,San Antonio-Ciudad Victoria,101,39.4,C
870,Francisco Escarcega – Chetumal,Francisco Escarcega – Chetumal,186,273,ET2
880,Estación González-Llera De Canales,Estación González-Llera De Canales,247,88.6,NA
880,Estación González-Llera De Canales,Estación González – Zaragoza,247,61,ET2
880,Estación González-Llera De Canales,Zaragoza-Llera Canales,247,27.6,B2
890,Estacion – Manuel – Ent. La Coma,Estacion – Manuel – Ent. La Coma,180,232.5,B2
900,Estación Patti-Vistahermosa,Estación Patti-Vistahermosa,110,41.7,A2
905,Francisco Escárcega – Champotón,Francisco Escárcega – Champotón,261,85,A2
910,Fortín-Conejos,Fortín-Conejos,125,107.5,D
